역명,위도,경도,승차총승객수,하차총승객수
방화,37.577669,126.812822,6402.48717948718,6107.538461538462
개화산,37.572458,126.806838,5385.2307692307695,5159.5641025641025
송정,37.561411,126.812052,6145.179487179487,5809.076923076923
마곡,37.562182,126.82693,9872.205128205129,9996.28205128205
발산,37.562182,126.82693,19879.82051282051,20772.97435897436
우장산,37.548864,126.83633,13611.076923076924,13370.076923076924
화곡,37.541585,126.840436,27246.28205128205,25422.128205128207
까치산,37.53181,126.846706,27313.358974358973,26170.25641025641
개화,37.578608,126.798153,2470.230769230769,1631.820512820513
김포공항,37.562434,126.801058,25718.53846153846,24021.153846153848
공항시장,37.563726,126.810678,2778.153846153846,2968.974358974359
신방화,37.567532,126.816601,6518.641025641025,6320.307692307692
마곡나루,37.567336,126.829497,21288.871794871793,20787.076923076922
양천향교,37.568381,126.841333,8965.923076923076,9118.794871794871
가양,37.561391,126.854456,20669.30769230769,20122.74358974359
증미,37.557402,126.861939,6634.128205128205,6262.128205128205
등촌,37.550632,126.865689,10748.333333333334,10268.076923076924
염창,37.546936,126.874916,16735.410256410258,16139.615384615385
