연번,호선,역번호,역명,위도,경도,데이터기준일자
1,9,926,언주역,37.507324,127.033905,2019-07-19
2,9,927,선정릉역,37.510278,127.043902,2019-07-19
3,9,928,삼성중앙역,37.51306,127.053334,2019-07-19
4,9,929,봉은사역,37.514258,127.060257,2019-07-19
5,9,930,종합운동장역,37.511433,127.076313,2019-07-19
6,9,931,삼전역,37.504356,127.08804,2019-07-19
7,9,932,석촌고분역,37.502453,127.096961,2019-07-19
8,9,933,석촌역,37.504929,127.106682,2019-07-19
9,9,934,송파나루역,37.510303,127.112231,2019-07-19
10,9,935,한성백제역,37.516311,127.116168,2019-07-19
11,9,936,올림픽공원역,37.516132,127.130282,2019-07-19
12,9,937,둔촌오륜역,37.519395,127.138706,2019-07-19
13,9,938,중앙보훈병원역,37.528321,127.148376,2019-07-19
